Reference, Value, Footprint, Datasheet, Description, Supplier 1, Supplier 1 Part No, Supplier 1 Cost, Manufacturer, Manufacturer Part No
U1,NODEMCU,REInnovationFootprint:NodeMCU_Amica_R2_FSILK,https://nodemcu.readthedocs.io/en/master/en/,Node MCU Amica version. ESP8266 breakout.,AliExpress,https://www.aliexpress.com/item/Update-Industry-4-0-New-esp8266-NodeMCU-v2-Lua-WIFI-networking-development-kit-board-based-on/32358722888.html,3.50,,
DISP1,OLED_I2C,REInnovationFootprint:TH_OLED1306,,OLED display 128x64 IIC,Aliexpress,https://www.aliexpress.com/item/Free-Shipping-10pcs-2015-white-New-128X64-OLED-LCD-LED-Display-Module-0-96-I2C-IIC/32311828903.html,2.75,,
D8,LED,REInnovationFootprint:TH_LED-5MM_larg_pad,,,,,0.05,,
P3,SERIAL_HC12,REInnovationFootprint:TH_SIL_5_HC12,,,,,,,
R1,330,REInnovationFootprint:TH_Resistor_1,,,,,0.01,,
SW1,ON/OFF,REInnovationFootprint:SW_SPDT_R_Angle_ALIEX,,,Aliexpress,,0.2,,
F1,500mA,REInnovationFootprint:TH_MC36188_FUSE,,Resettable fuse. 0.5A,RS,517-6635,0.27,,
P6,NODEMCU_2,REInnovationFootprint:TH_SIL-15,
P5,NODEMCU_1,REInnovationFootprint:TH_SIL-15,
U2,74LVC1G17,REInnovationFootprint:SM_SOT-23-5,http://docs-europe.electrocomponents.com/webdocs/154d/0900766b8154d6d1.pdf,,RS,816-8763,0.06,Nexperia,74LVC1G17GV
P4,S_SERIAL,matts_components:SIL-4_screw_terminals,
P7,PCB,REInnovationFootprint:PCB_50x100mm_RJWIFI,
P10,LOGO1,CuriousElectric3:CEC_Globe_10mm_FCU,
P11,LOGO2,CuriousElectric3:TCEC_Words_13mm,
D1,1N5819,REInnovationFootprint:TH_Diode_1,https://www.diodes.com/assets/Datasheets/ds23001.pdf,1A Schottky diode,RS,917-9108,0.02,HY Electronic Corp,
ENC1,Encoder,REInnovationFootprint:TH_Encoder,,Rotary encoder,Aliexpress,https://www.aliexpress.com/item/Wholesale-20pcs-lot-12mm-Rotary-Encoder-Switch-W-Keyswitch-HQ-New-free-shipping-10000002/495026832.html,0.50,,
P2,5V_EXT,matts_components:SIL-2_screw_terminal,,Screw terminal conenctor,Aliexpress,,0.10,,
C1,100n,matts_components:C1_wide_lg_pad,,,Rapid,10-3260,0.07,,
P1,USB_Micro,REInnovationFootprint:USB_Micro-B_MOLEX_47642-0001,http://docs-europe.electrocomponents.com/webdocs/144c/0900766b8144c28e.pdf,Micro USB connector,RS,896-7419,0.60,MOLEX,47642-0001
D2,1N5819,REInnovationFootprint:TH_Diode_1,https://www.diodes.com/assets/Datasheets/ds23001.pdf,1A Schottky diode,RS,917-9108,0.02,HY Electronic Corp,
P9,HARDWARE,CuriousElectric3:CEC_Globe_10mm_FCU,
P8,LOGO_MOUSE,CuriousElectric3:CEC_Globe_10mm_FCU,
D3,WS2812B_SMD,REInnovationFootprint:SM_WS2812B,https://www.kitronik.co.uk/pdf/WS2812B-LED-datasheet.pdf,WS2812B SMD 50_50,AliExpress,https://www.aliexpress.com/item/10-1000pcs-WS2812B-4pins-5050-SMD-Black-White-version-WS2812-Individually-Addressable-Digital-RGB-LED-Chip/,0.10,,
D4,WS2812B_SMD,REInnovationFootprint:SM_WS2812B,https://www.kitronik.co.uk/pdf/WS2812B-LED-datasheet.pdf,WS2812B SMD 50_50,AliExpress,https://www.aliexpress.com/item/10-1000pcs-WS2812B-4pins-5050-SMD-Black-White-version-WS2812-Individually-Addressable-Digital-RGB-LED-Chip/,0.10,,
D5,WS2812B_SMD,REInnovationFootprint:SM_WS2812B,https://www.kitronik.co.uk/pdf/WS2812B-LED-datasheet.pdf,WS2812B SMD 50_50,AliExpress,https://www.aliexpress.com/item/10-1000pcs-WS2812B-4pins-5050-SMD-Black-White-version-WS2812-Individually-Addressable-Digital-RGB-LED-Chip/,0.10,,
D6,WS2812B_SMD,REInnovationFootprint:SM_WS2812B,https://www.kitronik.co.uk/pdf/WS2812B-LED-datasheet.pdf,WS2812B SMD 50_50,AliExpress,https://www.aliexpress.com/item/10-1000pcs-WS2812B-4pins-5050-SMD-Black-White-version-WS2812-Individually-Addressable-Digital-RGB-LED-Chip/,0.10,,
D7,WS2812B_SMD,REInnovationFootprint:SM_WS2812B,https://www.kitronik.co.uk/pdf/WS2812B-LED-datasheet.pdf,WS2812B SMD 50_50,AliExpress,https://www.aliexpress.com/item/10-1000pcs-WS2812B-4pins-5050-SMD-Black-White-version-WS2812-Individually-Addressable-Digital-RGB-LED-Chip/,0.10,,
C2,100n,matts_components:C1_wide_lg_pad,,,Rapid,10-3260,0.07,,
C3,100n,matts_components:C1_wide_lg_pad,,,Rapid,10-3260,0.07,,
C4,100n,matts_components:C1_wide_lg_pad,,,Rapid,10-3260,0.07,,
C5,100n,matts_components:C1_wide_lg_pad,,,Rapid,10-3260,0.07,,
